id,file,line,marker,text,issue_refs,has_issue_ref,area,triage_status,severity,impact,reproducibility,dependency,owner,due,notes
TD-0001,.github/workflows/ci-core.yml,25,TODO,- name: TODO/FIXME issue reference guard,,no,.github,,,,,,,,
TD-0002,.github/workflows/ci-core.yml,28,TODO,run: node scripts/ci/check-todo-issue-links.mjs,,no,.github,,,,,,,,
TD-0003,.github/workflows/verify-lite.yml,40,TODO,- name: Validate TODO/FIXME issue references,,no,.github,,,,,,,,
TD-0004,.github/workflows/verify-lite.yml,43,TODO,run: node scripts/ci/check-todo-issue-links.mjs,,no,.github,,,,,,,,
TD-0005,README.md,62,TODO,- TODO triage operations: `docs/maintenance/todo-triage-runbook.md`,,no,README.md,,,,,,,,
TD-0006,README.md,158,TODO,// @ts-expect-error owner:@alice expires:2027-12-31 reason: narrowing todo for complex union,,no,README.md,,,,,,,,
TD-0007,api/public-types.d.ts,3568,TODO,* TODO: Replace with actual UI/UX generation agent when available,,no,api,,,,,,,,
TD-0008,api/public-types.d.ts,24063,TODO,* TODO: Replace with import from '@ae-framework/spec-compiler' when available.,,no,api,,,,,,,,
TD-0009,docs/README.md,36,TODO,- TODO triage runbook: `maintenance/todo-triage-runbook.md`,,no,docs,,,,,,,,
TD-0010,docs/TLA+/kv-once-poc.md,36,TODO,## 既知の制約 / TODO,,no,docs,,,,,,,,
TD-0011,docs/articles/zenn/zenn-article-ae-framework-en.md,37,TODO,ae-framework init todo-app --tdd,,no,docs,,,,,,,,
TD-0012,docs/articles/zenn/zenn-article-ae-framework-en.md,38,TODO,cd todo-app,,no,docs,,,,,,,,
TD-0013,docs/articles/zenn/zenn-article-ae-framework-en.md,77,TODO,**A complete TODO app is ready with just this!**,,no,docs,,,,,,,,
TD-0014,docs/articles/zenn/zenn-article-ae-framework-en.md,487,TODO,// Auto-generated Todo component,,no,docs,,,,,,,,
